Judul,Perusahaan,Lokasi,Gaji,Tanggal,Tipe Pekerjaan,Fungsi Pekerjaan,Jenjang Karir,Pengalaman Minimal,Tingkat Pendidikan,Jurusan Pendidikan,Deskripsi Pekerjaan,Deskripsi Persyaratan,Deskripsi Perusahaan,Gaji Minimum,Gaji Maksimum
AA - Telemarketing,PT Danamas Insan Kreasi Andalan (DIKA),Tangerang,"Rp 4,9 juta - Rp 5 juta/bulan",,Tidak Disebutkan,Telemarketing,Pemula / Staf,1 tahun,D3,Semuanya,"Menarik minat konsumen 
 Melakukan penelponan data konsumen 
 Melakukan penawaran sesuai dengan parameter skrip 
 Memastikan minat konsumen menjadi unit sales","1 Tahun pada perusahaan sejenis LeasingBankFinance 
dengan pengalaman di Telecenter",PT Danamas Insan Kreasi Andalan atau DIKA merupakan anak perusahaan dan Dana Pensiun Karyawan BCA yang didirikan di Jakarta pada tanggal 2 Mei 2012 dengan fokus di bisnis outsourcing Misi utama DIKA adalah mengembangkan sumber daya manusia dalam mencapai performa terbaik dan memberikan solusi terpadu untuk Mien dalam mencapal tujuan perusahaan Vlsi DIKA adalah menjadi mitra bisnis yang andal dan terpecaya yang dapat membantu kiien dalam mengembangkan bisnisnya Kekuatan DIKA terletak pada managemen yang sudah berpengalaman dan profesional di bidang Industri keuangan dan jasa Dengan pengalaman yang luas dan performa yang terbukti balk selama bertahuntahun DIKA adalah MITRA BIS NIS yang andal bagi kiien,4900000.0,5000000.0
Supervisor Indramayu,PT Mitra Langgeng Sejati,Prov. Jawa Barat,Gaji di atas ekspektasi,,Tidak Disebutkan,"General Management, Manajemen Operasional",Supervisor,1 tahun,S1,Semuanya,"Membimbing dan melatih karyawan
Memantau kinerja dan memberikan umpan balik
Mengelola konflik dan memecahkan masalah
Menjaga dan mengatasi keluhan maupun masukan dari customer
Memastikan bahwa seluruh anggota tim mematuhi kebijakan perusahaan serta peraturan keselamatan kerja
Memastikan bahwa tugas yang diberikan kepada karyawan dilakukan dengan baik dan sesuai standar yang telah ditetapkan
Memberikan motivasi kepada karyawan yang ada di bawahnya","Diutamakan domisili Indramayu 
Diutamakan pengalaman sebagai Supervisor
Memiliki kemampuan kepemimpinan yang baik
Mampu bertanggung jawab dalam menangani masalah
Memiliki kemampuan komunikasi yang efektif
Mampu mengatur waktu dengan baik
Memiliki kemampuan untuk mengambil keputusan yang tepat
Memiliki mindset positif
Mampu memahami keragaman dalam tim kerja",PT Mitra Langgeng Sejati Mitra Indonesia terbentuk pada tahun 2000 dan sejak itu terus mengembangkan kualitasnya Mitra Indonesia merupakan One Stop Human Capital Management Consultant yang hadir untuk memahami dan memberikan solusi yang akurat dengan kebutuhan setiap perusahaan dalam mengelola dan menggerakkan organisasi dan sumber daya manusianya yang mengandalkan prinsipprinsip Human Capital Management secara efektif dan efisien menuju sasaran perusahaan Berbagai alternatif solusi disediakan oleh Mitra Indonesia untuk membantu perusahaan meningkatkan kinerja organisasinya Melalui layananlayanan solusi bisnis Placement Penempatan Outsourcing Management Manajemen Alih Daya Customized Soft Skills Training Pelatihan dan Business Management Consultancy Konsultasi Manajemen Mitra Indonesia siap memberikan result yang terbaik Sudah menjadi komitmen Mitra Indonesia untuk selalu memberikan hasil kerja yang optimal dan secara rutin meningkatkannya karena Mitra Indonesia senantiasa menjaga kepercayaan yang telah diberikan oleh Klien,,
Vice President Operational,PT Mitra Langgeng Sejati,Jakarta Selatan,Gaji di atas ekspektasi,,Tidak Disebutkan,"General Management, Manajemen Merk / Produk, Manajemen Operasional",Wakil Presiden,3 tahun,"S2, S1",Semuanya,"Merencanaan mengarahkan mengkoordinasikan dan mengawasi kegiatan operasional
Memastikan pengembangan dan penerapan operasional yang efisien dan hemat biaya
Memantau kinerja departemen dan memberikan evaluasi
Mengidentifikasi dan mengatasi masalah operasional yang mungkin timbul
Memastikan pemasaran berjalan efektif dan branding perusahaan tetap kuat di pasar","Siap bekerja pada waktu pagi siang  malam hari
Siap bekerja untuk keliling agen utama seluruh Indonesia
Berpengalaman di dunia logistik  kurir
Network yang luas
Bisa bekerjasama dengan team
Fasih dalam berbahasa Inggris",PT Mitra Langgeng Sejati Mitra Indonesia terbentuk pada tahun 2000 dan sejak itu terus mengembangkan kualitasnya Mitra Indonesia merupakan One Stop Human Capital Management Consultant yang hadir untuk memahami dan memberikan solusi yang akurat dengan kebutuhan setiap perusahaan dalam mengelola dan menggerakkan organisasi dan sumber daya manusianya yang mengandalkan prinsipprinsip Human Capital Management secara efektif dan efisien menuju sasaran perusahaan Berbagai alternatif solusi disediakan oleh Mitra Indonesia untuk membantu perusahaan meningkatkan kinerja organisasinya Melalui layananlayanan solusi bisnis Placement Penempatan Outsourcing Management Manajemen Alih Daya Customized Soft Skills Training Pelatihan dan Business Management Consultancy Konsultasi Manajemen Mitra Indonesia siap memberikan result yang terbaik Sudah menjadi komitmen Mitra Indonesia untuk selalu memberikan hasil kerja yang optimal dan secara rutin meningkatkannya karena Mitra Indonesia senantiasa menjaga kepercayaan yang telah diberikan oleh Klien,,
Tour Guide,PT Mitra Langgeng Sejati,Jakarta Selatan,Gaji di atas ekspektasi,,Tidak Disebutkan,Penerjemah,Pemula / Staf,-,S1,Semuanya,"Merekomendasikan tempat wisata yang menarik
Menjelaskan dan memberi pengetahuan tentang objek wisata
Membuat perencanaan tur termasuk durasi waktu yang digunakan untuk tiap destinasi wisata","Pendidikan Min S1
Percaya Diri
Memiliki kemampuan berkomunikasi yang baik
Aktif dalam berbahasa Inggris
Terbiasa membawa tamu
Memiliki kemampuan improvisasi
Memiliki kemampuan manajemen waktu yang baik
Memiliki kemampuan menghafal yang kuat
Memiliki pengetahuan mendalam tentang objek wisata yang dikunjungi",PT Mitra Langgeng Sejati Mitra Indonesia terbentuk pada tahun 2000 dan sejak itu terus mengembangkan kualitasnya Mitra Indonesia merupakan One Stop Human Capital Management Consultant yang hadir untuk memahami dan memberikan solusi yang akurat dengan kebutuhan setiap perusahaan dalam mengelola dan menggerakkan organisasi dan sumber daya manusianya yang mengandalkan prinsipprinsip Human Capital Management secara efektif dan efisien menuju sasaran perusahaan Berbagai alternatif solusi disediakan oleh Mitra Indonesia untuk membantu perusahaan meningkatkan kinerja organisasinya Melalui layananlayanan solusi bisnis Placement Penempatan Outsourcing Management Manajemen Alih Daya Customized Soft Skills Training Pelatihan dan Business Management Consultancy Konsultasi Manajemen Mitra Indonesia siap memberikan result yang terbaik Sudah menjadi komitmen Mitra Indonesia untuk selalu memberikan hasil kerja yang optimal dan secara rutin meningkatkannya karena Mitra Indonesia senantiasa menjaga kepercayaan yang telah diberikan oleh Klien,,
Operational Superintendent,PT Mitra Langgeng Sejati,Jakarta Selatan,Gaji di atas ekspektasi,,Tidak Disebutkan,"Pengembangan Bisnis, Manajemen Operasional",Pemula / Staf,2 tahun,S1,"Administrasi Bisnis (Manajemen), Manajemen",Mengelola dan mengawasi kegiatan operasional perusahaan Mereka juga bertanggung jawab atas manajemen proyek dan tim,"Memiliki pengalaman kerja di bidang Manajemen Administrasi atau bidang terkait
S1 di bidang manajemen atau administrasi bisnis",PT Mitra Langgeng Sejati Mitra Indonesia terbentuk pada tahun 2000 dan sejak itu terus mengembangkan kualitasnya Mitra Indonesia merupakan One Stop Human Capital Management Consultant yang hadir untuk memahami dan memberikan solusi yang akurat dengan kebutuhan setiap perusahaan dalam mengelola dan menggerakkan organisasi dan sumber daya manusianya yang mengandalkan prinsipprinsip Human Capital Management secara efektif dan efisien menuju sasaran perusahaan Berbagai alternatif solusi disediakan oleh Mitra Indonesia untuk membantu perusahaan meningkatkan kinerja organisasinya Melalui layananlayanan solusi bisnis Placement Penempatan Outsourcing Management Manajemen Alih Daya Customized Soft Skills Training Pelatihan dan Business Management Consultancy Konsultasi Manajemen Mitra Indonesia siap memberikan result yang terbaik Sudah menjadi komitmen Mitra Indonesia untuk selalu memberikan hasil kerja yang optimal dan secara rutin meningkatkannya karena Mitra Indonesia senantiasa menjaga kepercayaan yang telah diberikan oleh Klien,,
Cook BALI,PT Pesonna Indonesia Jaya,Denpasar,"Rp 3 juta - Rp 3,2 juta/bulan",,Tidak Disebutkan,"Makanan dan Minuman, Juru Masak",Pemula / Staf,1 tahun,"D3, SMA",Makanan dan Minuman,"Menjamin kualitas dan keselamatan makanan yang disajikan
Mengelola waktu dan prioritas dengan baik untuk memastikan makanan disajikan tepat waktu
Mengawasi dan mengontrol biaya bahanbahan makanan dan peralatan dapur
Mengikuti prosedur dan standar kualitas yang telah ditetapkan","Pengalaman kerja sebagai Cook minimal 1 tahun
Kemampuan mengoperasikan peralatan dapur
Kemampuan bekerja dalam tim dan memiliki semangat kerja yang tinggi
Kemampuan mengikuti prosedur keamanan dan kesehatan makanan
Domisili area Denpasar BALI DIUTAMAKAN",Makna dari logo Pesonna Indonesia Jaya adalah Sebuah perusahaan yang yang memiliki kekuatan keindahan dan mengagumkan Mampu menghasilkan kemakmuran dan kesejahteraan sehingga mampu menjadi perusahaan yang menyejukkan seluruh stakeholders,3000000.0,3200000.0
Barista,PT Pesonna Indonesia Jaya,Jakarta Pusat,"Rp 4 juta - Rp 4,9 juta/bulan",,Tidak Disebutkan,"Operasi Restoran, Makanan dan Minuman",Pemula / Staf,1 tahun,"D3, SMA",Makanan dan Minuman,"Menerima pesanan makanan dan minuman
Menyiapkan dan menyajikan minuman kopi mulai dari yang sederhana hingga rumit
Menyiapkan dan menyajikan makanan sesuai pesanan pelanggan
Menjawab pertanyaan pelanggan tentang menu
Memberikan rekomendasi pilihan menu pada pelanggan","Diutamakan mempunyai pengalaman di bidang Barista Cafe 
Mempunyai semangat dengan energi dan antusiasme yang tinggi
Mampu bekerja dengan tim yang positif dan dinamis
Mempunyai keterampilan interpersonal yang kuat
Siap bekerja dengan sistem shift pagi siang malam akhir pekan dan hari libur
Jujur dan Bertanggung jawab
Domisili di Jakarta lebih diUTAMAKAN",Makna dari logo Pesonna Indonesia Jaya adalah Sebuah perusahaan yang yang memiliki kekuatan keindahan dan mengagumkan Mampu menghasilkan kemakmuran dan kesejahteraan sehingga mampu menjadi perusahaan yang menyejukkan seluruh stakeholders,4000000.0,4900000.0
Legal Admin,PT LX Pantos Indonesia,Bekasi,Rp 6 juta - Rp 7 juta/bulan,,Tidak Disebutkan,"Hukum / Korporasi, Administrasi",Pemula / Staf,1 tahun,S1,Hukum,"Melakukan fungsi administratif dalam pengelolaan dokumen legal perusahaan kontrak perijinan dll
Memberikan opini legal kepada tim dan divisi lain dalam perusahaan
Membuat dan mereview draft kontrak perusahaan
Melakukan koordinasi dengan kantorkantor pemerintahan atau pihak lain yang terkait dengan bisnis perusahaan
Menangani pembuatan atau perpanjangan ijinijin perusahaan yang diperlukan untuk kegiatan bisnis","Memiliki pengetahuan yang baik pada aspek legal perusahaan
Memiliki pengalaman kerja min 1 tahun dalam bidang legal perusahaan pada industri jasa atau manufakturing
Bahasa Inggris lancar dalam lisan dan tulisan
Memiliki tempat tinggal di daerah Bekasi dan sekitarnya
Memiliki skill komputer yang memadai",Canada Oil Sands Project We transported 2 million F ton of equipment for the largest oil sands heavy distillate plant construction project in North America We transported wind power construction materials and equipment,6000000.0,7000000.0
Sales Executive Mobil,PT Danamas Insan Kreasi Andalan (DIKA),Medan,"Rp 5,5 juta - Rp 8 juta/bulan",,Tidak Disebutkan,Penjualan dan Pemasaran,"Pemula / Staf, Staf Senior",>5 tahun,"S1, D3, SMA",Semuanya,Melakukan penjualan product luxury car melakukan penjualan product luxury car,"Kualifikasi 
 Berpenampilan menarik
 Min Pendidikan SMAK  Sederajat
 Memiliki pengalaman sebagai sales otomotif atau Sales apa saja
 Memiliki kemampuan berbahasa inggris Intermediate",PT Danamas Insan Kreasi Andalan atau DIKA merupakan anak perusahaan dan Dana Pensiun Karyawan BCA yang didirikan di Jakarta pada tanggal 2 Mei 2012 dengan fokus di bisnis outsourcing Misi utama DIKA adalah mengembangkan sumber daya manusia dalam mencapai performa terbaik dan memberikan solusi terpadu untuk Mien dalam mencapal tujuan perusahaan Vlsi DIKA adalah menjadi mitra bisnis yang andal dan terpecaya yang dapat membantu kiien dalam mengembangkan bisnisnya Kekuatan DIKA terletak pada managemen yang sudah berpengalaman dan profesional di bidang Industri keuangan dan jasa Dengan pengalaman yang luas dan performa yang terbukti balk selama bertahuntahun DIKA adalah MITRA BIS NIS yang andal bagi kiien,5500000.0,8000000.0
Marketing Insurance,PT Danamas Insan Kreasi Andalan (DIKA),Medan,"Rp 3,5 juta - Rp 8 juta/bulan",,Tidak Disebutkan,Penjualan dan Pemasaran,Pemula / Staf,-,D3,Pemasaran," IA akan bekerja di  cabang bank di Jabodetabek  Non Jabodetabek
 IA akan menerima referral dari bank untuk diFollow Up
 Input laporan kegiatan harian
 Target kurang lebih 100jutabulan","Kualifikasi
 Min Diploma
 Max 35
 Penampilan menarik
 Memiliki minimal 1 tahun di bidang marketinginsurance lebih disukai
 Mampu mengoperasikan Ms Office
 Tidak terdaftar sebagai Agen pada perusahaan lain
 Memiliki interpersonal skill yang baik",PT Danamas Insan Kreasi Andalan atau DIKA merupakan anak perusahaan dan Dana Pensiun Karyawan BCA yang didirikan di Jakarta pada tanggal 2 Mei 2012 dengan fokus di bisnis outsourcing Misi utama DIKA adalah mengembangkan sumber daya manusia dalam mencapai performa terbaik dan memberikan solusi terpadu untuk Mien dalam mencapal tujuan perusahaan Vlsi DIKA adalah menjadi mitra bisnis yang andal dan terpecaya yang dapat membantu kiien dalam mengembangkan bisnisnya Kekuatan DIKA terletak pada managemen yang sudah berpengalaman dan profesional di bidang Industri keuangan dan jasa Dengan pengalaman yang luas dan performa yang terbukti balk selama bertahuntahun DIKA adalah MITRA BIS NIS yang andal bagi kiien,3500000.0,8000000.0
Teknisi Wi Fi ISP di Bali,PT Rajawali Anugrah Resources,Denpasar,"Rp 3,5 juta - Rp 3,8 juta/bulan",,Tidak Disebutkan,"Teknik, Telekomunikasi, Teknisi",Pemula / Staf,-,SMA,Semuanya,"Teknisi Wi Fi ISP Fiber Optic
PENEMPATAN Badung  Tabanan
Posisi Teknisi Fiber Optic
Salary Bulanan ump Rp 3561000  BPJS TENAGA KERJA  BPJS KESEHATAN
Nama Lengkap
Domisili Kota Tinggal 
Pengalaman Kerja Teknisi di 
Motor Ada

Pengalaman Teknisi Fiber Optic Yang beminat dapat menghubungi kami 
Pak Herry Ph  WA 0858 8480 5990
Email  resourcesrajawalianugrahgmailcom","Teknisi Wi Fi ISP Fiber Optic
Pengetahuan OPM OTDR SPLASHER
PENEMPATAN Badung  Tabanan
Salary Bulanan ump Rp 3561000  BPJS TENAGA KERJA  BPJS KESEHATAN
 BPJS TENAGA KERJA  BPJS KESEHATAN
 Laki laki
 Pendidikan Minimal SMASMK Sederajat
 Usia 20  40 tahun
 Pengalaman Teknisi Fiber Optic Minimal 6  12 Bulan
 Lebih disukai Pengalaman Teknisi FTTH Fiber Optic
 Memiliki Kendaraan Motor Sendiri untuk Bekerja
 Sim C Aktif
Yang beminat dapat menghubungi kami 
Herry Ph  WA 0858 8480 5990
Posisi  Teknisi Fiber Optic
Nama Lengkap
Domisili Kota Tinggal 
Pengalaman Kerja Teknisi di 
Motor Ada
Email  resourcesrajawalianugrahgmailcom
Pak Herry Ph  WA 0858 8480 5990",We are a fast growing company which provides in the staffing servicehuman resource training management and event organizer We have handled professionally a lot of big company and a growing company,3500000.0,3800000.0
